기간	자치구	행정동	구분	계	0~4세	5~9세	10~14세	15~19세	20~24세	25~29세	30~34세	35~39세	40~44세	45~49세	50~54세	55~59세	60~64세	65~69세	70~74세	75~79세	80~84세	85~89세	90~94세	95~99세	100세 이상
2019	종로구	평창동	한국인	18,659	498	706	729	1,004	1,332	1,272	1,060	1,233	1,174	1,632	1,682	1,669	1,418	917	776	655	458	268	113	39	24
2019	종로구	평창동	외국인	157	4	4	3	4	9	11	8	18	20	14	11	20	18	7	2	2	2	-	-	-	-
2019	종로구	무악동	계	8,740	300	454	498	533	508	472	413	571	690	929	703	694	562	418	338	303	211	78	38	12	15
2019	종로구	무악동	한국인	8,695	298	450	498	533	506	470	407	566	686	916	701	689	562	418	338	303	211	78	38	12	15
2019	종로구	무악동	외국인	45	2	4	-	-	2	2	6	5	4	13	2	5	-	-	-	-	-	-	-	-	-
2019	종로구	교남동	계	10,708	473	445	424	446	591	734	861	977	897	1,028	825	771	672	472	404	323	219	88	31	12	15
2019	종로구	교남동	한국인	10,562	469	441	416	442	585	726	836	958	876	1,018	813	761	664	470	401	322	219	88	30	12	15
2019	종로구	교남동	외국인	146	4	4	8	4	6	8	25	19	21	10	12	10	8	2	3	1	-	-	1	-	-
2019	종로구	가회동	계	4,488	81	137	163	197	237	262	279	343	353	455	373	370	319	267	232	206	108	62	30	5	9
2019	종로구	가회동	한국인	4,383	80	137	162	195	232	253	267	331	338	445	362	357	311	263	231	205	108	62	30	5	9
2019	종로구	가회동	외국인	105	1	-	1	2	5	9	12	12	15	10	11	13	8	4	1	1	-	-	-	-	-
2019	종로구	종로1.2.3.4가동	계	8,446	134	152	116	217	512	649	567	580	535	660	708	869	847	580	464	364	237	128	60	30	37
2019	종로구	종로1.2.3.4가동	한국인	7,227	99	113	94	143	361	521	439	450	401	539	604	798	808	559	451	359	235	127	59	30	37
2019	종로구	종로1.2.3.4가동	외국인	1,219	35	39	22	74	151	128	128	130	134	121	104	71	39	21	13	5	2	1	1	-	-
2019	종로구	종로5·6가동	계	5,839	69	68	95	234	614	722	452	305	288	421	484	545	425	331	305	238	136	60	27	11	9
2019	종로구	종로5·6가동	한국인	5,343	63	62	87	182	468	634	411	277	261	394	464	520	405	330	305	238	136	59	27	11	9
2019	종로구	종로5·6가동	외국인	496	6	6	8	52	146	88	41	28	27	27	20	25	20	1	-	-	-	1	-	-	-
2019	종로구	이화동	계	8,470	126	158	205	361	898	1,146	849	592	453	621	568	601	515	404	312	299	200	108	27	14	13
2019	종로구	이화동	한국인	7,847	117	155	204	260	649	1,046	787	562	435	605	556	590	508	400	312	299	200	108	27	14	13
2019	종로구	이화동	외국인	623	9	3	1	101	249	100	62	30	18	16	12	11	7	4	-	-	-	-	-	-	-
2019	종로구	창신1동	계	6,079	92	103	112	198	453	430	326	332	329	494	640	744	612	400	298	262	149	56	30	12	7
2019	종로구	창신1동	한국인	5,243	79	89	106	166	266	340	256	275	281	424	536	638	583	392	298	261	149	55	30	12	7
2019	종로구	창신1동	외국인	836	13	14	6	32	187	90	70	57	48	70	104	106	29	8	-	1	-	1	-	-	-
2019	종로구	창신2동	계	9,799	143	164	216	431	869	777	579	504	533	860	1,058	1,115	842	546	424	381	214	87	35	9	12
2019	종로구	창신2동	한국인	8,550	126	146	208	371	582	646	488	430	466	774	932	944	758	531	417	377	211	87	35	9	12
2019	종로구	창신2동	외국인	1,249	17	18	8	60	287	131	91	74	67	86	126	171	84	15	7	4	3	-	-	-	-
2019	종로구	창신3동	계	7,271	224	213	253	321	508	560	526	518	447	585	651	673	594	380	283	257	147	82	24	13	12
2019	종로구	창신3동	한국인	7,106	215	208	249	320	472	539	511	501	432	571	641	663	590	379	281	257	146	82	24	13	12
2019	종로구	창신3동	외국인	165	9	5	4	1	36	21	15	17	15	14	10	10	4	1	2	-	1	-	-	-	-
2019	종로구	숭인1동	계	6,532	139	205	186	235	403	485	440	511	455	588	595	630	501	363	280	255	153	64	25	11	8
2019	종로구	숭인1동	한국인	6,189	130	197	181	224	358	454	398	474	426	555	552	593	493	358	280	255	153	64	25	11	8
2019	종로구	숭인1동	외국인	343	9	8	5	11	45	31	42	37	29	33	43	37	8	5	-	-	-	-	-	-	-
2019	종로구	숭인2동	계	9,902	167	165	145	235	792	1,240	910	676	565	762	856	925	811	530	413	350	211	83	34	14	18
2019	종로구	숭인2동	한국인	9,434	158	161	141	228	663	1,164	868	636	545	739	825	873	790	523	411	349	211	83	34	14	18
2019	종로구	숭인2동	외국인	468	9	4	4	7	129	76	42	40	20	23	31	52	21	7	2	1	-	-	-	-	-
2019	종로구	청운효자동	계	12,981	387	523	587	699	853	834	827	987	1,086	1,197	1,090	927	782	575	550	485	343	155	52	25	17
2019	종로구	청운효자동	한국인	12,734	385	516	581	677	807	821	804	956	1,062	1,189	1,076	910	772	562	544	481	343	154	52	25	17
2019	종로구	청운효자동	외국인	247	2	7	6	22	46	13	23	31	24	8	14	17	10	13	6	4	-	1	-	-	-
2019	종로구	혜화동	계	20,435	278	503	571	1,375	4,547	2,576	1,305	1,044	1,059	1,327	1,161	1,138	923	654	643	619	416	197	61	18	20
2019	종로구	혜화동	한국인	16,925	272	499	567	866	2,328	2,090	1,177	981	1,033	1,306	1,146	1,121	917	652	640	619	416	196	61	18	20
2019	종로구	혜화동	외국인	3,510	6	4	4	509	2,219	486	128	63	26	21	15	17	6	2	3	-	-	1	-	-	-
2019	중구	소계	계	136,488	4,021	3,949	3,347	4,662	9,817	12,105	11,237	11,281	9,391	10,531	10,959	11,589	10,324	7,187	5,728	4,756	3,061	1,518	632	206	187
2019	중구	소계	한국인	126,171	3,693	3,696	3,154	4,154	7,682	10,791	10,202	10,460	8,678	9,813	10,229	10,727	9,918	7,030	5,671	4,709	3,037	1,505	631	204	187
2019	중구	소계	외국인	10,317	328	253	193	508	2,135	1,314	1,035	821	713	718	730	862	406	157	57	47	24	13	1	2	-
2019	중구	소공동	계	3,059	120	187	96	79	92	193	341	397	388	273	249	173	187	110	59	54	32	12	8	5	4
2019	중구	소공동	한국인	2,050	68	126	48	45	70	130	206	257	243	180	167	116	142	94	55	46	29	12	8	4	4
2019	중구	소공동	외국인	1,009	52	61	48	34	22	63	135	140	145	93	82	57	45	16	4	8	3	-	-	1	-
2019	중구	회현동	계	5,850	114	144	120	128	227	322	329	351	367	465	469	679	665	481	319	263	183	96	64	25	39
2019	중구	회현동	한국인	5,245	96	125	98	111	203	298	281	278	306	394	429	606	613	449	307	251	181	92	63	25	39
2019	중구	회현동	외국인	605	18	19	22	17	24	24	48	73	61	71	40	73	52	32	12	12	2	4	1	-	-
2019	중구	명동	계	3,567	48	89	76	92	179	300	261	265	251	314	311	303	328	239	179	153	90	52	20	10	7
2019	중구	명동	한국인	2,936	35	65	60	74	120	218	195	198	188	257	245	259	301	221	176	150	87	50	20	10	7
2019	중구	명동	외국인	631	13	24	16	18	59	82	66	67	63	57	66	44	27	18	3	3	3	2	-	-	-
2019	중구	필동	계	5,020	112	114	67	227	804	560	418	329	248	302	316	331	372	247	183	166	102	66	35	12	9
2019	중구	필동	한국인	3,995	98	112	66	110	314	359	337	294	231	284	304	310	362	244	182	166	101	65	35	12	9
2019	중구	필동	외국인	1,025	14	2	1	117	490	201	81	35	17	18	12	21	10	3	1	-	1	1	-	-	-
2019	중구	장충동	계	5,628	106	116	139	273	964	763	407	374	300	391	323	343	319	222	203	181	123	46	26	6	3
2019	중구	장충동	한국인	4,708	90	102	127	193	611	583	359	337	262	342	305	301	298	215	201	179	122	46	26	6	3
2019	중구	장충동	외국인	920	16	14	12	80	353	180	48	37	38	49	18	42	21	7	2	2	1	-	-	-	-
2019	중구	광희동	계	6,284	101	97	97	167	591	652	544	438	392	417	489	605	522	398	304	220	137	66	26	8	13
2019	중구	광희동	한국인	4,905	67	79	89	108	279	443	388	337	289	323	399	489	473	379	301	217	134	64	26	8	13
2019	중구	광희동	외국인	1,379	34	18	8	59	312	209	156	101	103	94	90	116	49	19	3	3	3	2	-	-	-
2019	중구	을지로동	계	2,007	28	29	19	27	124	173	171	130	102	111	161	226	217	180	114	84	57	21	20	4	9
2019	중구	을지로동	한국인	1,802	27	25	16	20	69	138	157	103	90	104	152	214	209	175	111	83	55	21	20	4	9
2019	중구	을지로동	외국인	205	1	4	3	7	55	35	14	27	12	7	9	12	8	5	3	1	2	-	-	-	-
2019	중구	신당5동	계	10,929	332	324	261	381	748	1,009	933	908	776	893	959	951	764	518	445	362	217	96	33	8	11
2019	중구	신당5동	한국인	10,554	322	315	258	370	685	961	888	881	759	865	926	901	746	513	440	360	216	96	33	8	11
2019	중구	신당5동	외국인	375	10	9	3	11	63	48	45	27	17	28	33	50	18	5	5	2	1	-	-	-	-
2019	중구	황학동	계	13,689	510	349	236	336	890	1,524	1,601	1,462	959	975	1,019	1,042	874	658	493	368	208	127	36	13	9
2019	중구	황학동	한국인	12,650	456	314	217	307	729	1,416	1,475	1,393	899	899	920	916	823	640	490	366	205	127	36	13	9
2019	중구	황학동	외국인	1,039	54	35	19	29	161	108	126	69	60	76	99	126	51	18	3	2	3	-	-	-	-
2019	중구	중림동	계	12,942	628	465	371	427	707	916	1,125	1,361	1,045	1,006	1,002	1,038	837	602	514	394	268	134	49	23	30
2019	중구	중림동	한국인	12,622	610	456	367	423	680	875	1,082	1,325	1,018	977	977	1,012	826	595	508	391	267	131	49	23	30
2019	중구	중림동	외국인	320	18	9	4	4	27	41	43	36	27	29	25	26	11	7	6	3	1	3	-	-	-
2019	중구	신당동	계	9,234	195	141	165	265	846	978	823	715	588	749	848	922	638	408	362	295	153	86	40	9	8
2019	중구	신당동	한국인	7,526	145	116	142	183	476	805	675	596	497	632	670	708	557	392	351	290	150	85	40	8	8
2019	중구	신당동	외국인	1,708	50	25	23	82	370	173	148	119	91	117	178	214	81	16	11	5	3	1	-	1	-
2019	중구	다산동	계	15,035	313	336	376	578	1,180	1,469	1,252	1,169	957	1,238	1,229	1,214	1,158	782	652	573	330	142	59	15	13
2019	중구	다산동	한국인	14,526	303	328	363	560	1,034	1,378	1,205	1,138	928	1,203	1,203	1,181	1,146	778	650	570	329	142	59	15	13
2019	중구	다산동	외국인	509	10	8	13	18	146	91	47	31	29	35	26	33	12	4	2	3	1	-	-	-	-
2019	중구	약수동	계	17,734	600	670	485	608	914	1,192	1,182	1,448	1,262	1,357	1,404	1,513	1,501	1,084	885	728	520	236	109	25	11
2019	중구	약수동	한국인	17,525	594	656	475	590	902	1,180	1,156	1,423	1,243	1,339	1,383	1,501	1,492	1,079	885	726	520	236	109	25	11
2019	중구	약수동	외국인	209	6	14	10	18	12	12	26	25	19	18	21	12	9	5	-	2	-	-	-	-	-
2019	중구	청구동	계	14,515	414	455	424	586	869	1,182	1,196	1,123	976	1,133	1,180	1,250	1,125	735	622	570	378	202	62	25	8
2019	중구	청구동	한국인	14,297	397	452	416	573	838	1,156	1,169	1,106	955	1,117	1,166	1,232	1,119	735	622	569	378	202	62	25	8
2019	중구	청구동	외국인	218	17	3	8	13	31	26	27	17	21	16	14	18	6	-	-	1	-	-	-	-	-
2019	중구	동화동	계	10,995	400	433	415	488	682	872	654	811	780	907	1,000	999	817	523	394	345	263	136	45	18	13
2019	중구	동화동	한국인	10,830	385	425	412	487	672	851	629	794	770	897	983	981	811	521	392	345	263	136	45	18	13
2019	중구	동화동	외국인	165	15	8	3	1	10	21	25	17	10	10	17	18	6	2	2	-	-	-	-	-	-
2019	용산구	소계	계	245,185	7,504	8,133	7,889	9,626	15,253	21,037	20,748	21,507	18,287	21,037	19,598	18,966	16,809	11,413	9,306	7,979	5,533	2,673	1,129	403	355
2019	용산구	소계	한국인	228,670	6,808	7,324	7,307	9,084	13,682	19,155	18,588	19,445	16,541	19,618	18,440	18,019	16,313	11,172	9,201	7,921	5,506	2,670	1,123	400	353
2019	용산구	소계	외국인	16,515	696	809	582	542	1,571	1,882	2,160	2,062	1,746	1,419	1,158	947	496	241	105	58	27	3	6	3	2
2019	용산구	후암동	계	18,445	497	579	621	781	1,142	1,578	1,453	1,527	1,293	1,631	1,537	1,515	1,286	929	734	595	407	179	92	42	27
2019	용산구	후암동	한국인	17,896	480	568	605	766	1,106	1,537	1,402	1,460	1,235	1,572	1,482	1,449	1,258	912	729	592	404	179	92	41	27
2019	용산구	후암동	외국인	549	17	11	16	15	36	41	51	67	58	59	55	66	28	17	5	3	3	-	-	1	-
2019	용산구	용산2가동	계	11,836	273	246	301	439	766	1,241	1,178	1,075	812	911	789	854	878	604	529	421	291	132	54	22	20
2019	용산구	용산2가동	한국인	10,402	238	212	267	382	594	997	926	895	671	806	714	803	847	592	523	418	289	132	54	22	20
2019	용산구	용산2가동	외국인	1,434	35	34	34	57	172	244	252	180	141	105	75	51	31	12	6	3	2	-	-	-	-
2019	용산구	남영동	계	8,412	126	133	114	191	508	663	612	543	527	759	854	947	824	543	397	301	183	92	40	21	34
2019	용산구	남영동	한국인	7,771	113	117	102	170	370	604	553	487	486	701	803	884	789	534	395	295	182	92	40	21	33
2019	용산구	남영동	외국인	641	13	16	12	21	138	59	59	56	41	58	51	63	35	9	2	6	1	-	-	-	1
2019	용산구	원효로2동	계	14,718	467	575	611	761	890	1,029	1,012	1,152	1,134	1,323	1,227	1,163	1,004	710	608	445	350	171	54	19	13
2019	용산구	원효로2동	한국인	14,562	461	570	609	760	884	1,009	989	1,137	1,115	1,308	1,212	1,146	995	710	607	444	349	171	54	19	13
2019	용산구	원효로2동	외국인	156	6	5	2	1	6	20	23	15	19	15	15	17	9	-	1	1	1	-	-	-	-
2019	용산구	효창동	계	10,300	412	384	333	480	675	931	919	976	724	867	823	743	612	396	350	286	219	105	41	11	13
2019	용산구	효창동	한국인	10,178	407	382	331	476	665	915	896	964	715	854	814	737	606	394	349	284	219	105	41	11	13
2019	용산구	효창동	외국인	122	5	2	2	4	10	16	23	12	9	13	9	6	6	2	1	2	-	-	-	-	-
2019	용산구	용문동	계	12,587	437	407	413	538	814	1,007	975	1,100	888	1,071	1,057	980	877	640	509	420	260	112	54	15	13
2019	용산구	용문동	한국인	12,444	435	403	408	533	804	994	956	1,089	870	1,056	1,037	970	869	639	509	419	259	112	54	15	13
2019	용산구	용문동	외국인	143	2	4	5	5	10	13	19	11	18	15	20	10	8	1	-	1	1	-	-	-	-
2019	용산구	이촌1동	계	29,255	1,293	1,742	1,634	1,470	1,540	1,502	1,674	2,353	2,466	2,899	2,450	2,049	1,771	1,128	971	926	717	411	171	53	35
2019	용산구	이촌1동	한국인	28,342	1,229	1,642	1,560	1,442	1,527	1,490	1,614	2,242	2,326	2,788	2,377	2,001	1,734	1,104	960	923	713	411	171	53	35
2019	용산구	이촌1동	외국인	913	64	100	74	28	13	12	60	111	140	111	73	48	37	24	11	3	4	-	-	-	-
2019	용산구	이촌2동	계	9,005	327	274	258	290	459	569	716	858	590	684	705	743	795	527	401	361	248	125	45	16	14
2019	용산구	이촌2동	한국인	8,900	322	267	251	285	458	563	709	843	575	676	695	734	792	522	399	361	248	125	45	16	14
2019	용산구	이촌2동	외국인	105	5	7	7	5	1	6	7	15	15	8	10	9	3	5	2	-	-	-	-	-	-
2019	용산구	이태원1동	계	9,222	205	183	179	258	709	1,120	939	838	665	618	621	694	613	468	344	313	228	136	53	17	21
2019	용산구	이태원1동	한국인	6,861	142	122	133	184	341	653	555	533	452	469	519	622	591	451	334	309	227	136	51	16	21
2019	용산구	이태원1동	외국인	2,361	63	61	46	74	368	467	384	305	213	149	102	72	22	17	10	4	1	-	2	1	-
2019	용산구	이태원2동	계	10,811	311	314	276	337	592	1,045	1,087	1,060	794	906	722	746	736	497	450	435	285	130	55	19	14
2019	용산구	이태원2동	한국인	9,254	230	230	220	293	497	856	851	842	630	751	631	677	699	475	440	430	284	130	55	19	14
2019	용산구	이태원2동	외국인	1,557	81	84	56	44	95	189	236	218	164	155	91	69	37	22	10	5	1	-	-	-	-
2019	용산구	서빙고동	계	14,102	356	577	702	933	951	902	774	952	1,136	1,550	1,306	1,058	845	548	412	411	419	183	66	15	6
2019	용산구	서빙고동	한국인	13,329	314	512	657	897	928	867	717	839	1,040	1,481	1,221	1,008	820	535	402	403	418	183	66	15	6
2019	용산구	서빙고동	외국인	773	42	65	45	36	23	35	57	113	96	69	85	50	25	13	10	8	1	-	-	-	-
2019	용산구	보광동	계	15,862	311	317	360	541	1,060	1,607	1,306	1,331	1,084	1,351	1,316	1,366	1,182	801	718	548	365	180	62	35	21
2019	용산구	보광동	한국인	14,285	233	260	333	511	868	1,367	1,054	1,115	920	1,240	1,234	1,281	1,158	790	715	546	364	180	61	34	21
2019	용산구	보광동	외국인	1,577	78	57	27	30	192	240	252	216	164	111	82	85	24	11	3	2	1	-	1	1	-
2019	용산구	청파동	계	20,661	371	408	508	814	2,033	2,397	1,778	1,465	1,306	1,639	1,607	1,627	1,408	955	787	782	460	182	71	30	33
2019	용산구	청파동	한국인	19,831	357	400	498	784	1,780	2,277	1,680	1,425	1,264	1,603	1,558	1,548	1,380	942	782	779	460	181	71	30	32
2019	용산구	청파동	외국인	830	14	8	10	30	253	120	98	40	42	36	49	79	28	13	5	3	-	1	-	-	1
2019	용산구	원효로1동	계	16,630	777	686	438	472	925	1,605	1,915	1,914	1,452	1,304	1,125	1,132	944	636	466	375	254	120	53	21	16
2019	용산구	원효로1동	한국인	15,991	733	654	420	455	885	1,557	1,827	1,831	1,385	1,253	1,071	1,088	916	623	459	373	252	119	53	21	16
2019	용산구	원효로1동	외국인	639	44	32	18	17	40	48	88	83	67	51	54	44	28	13	7	2	2	1	-	-	-
2019	용산구	한강로동	계	19,635	627	542	480	555	1,037	1,810	2,107	1,839	1,488	1,469	1,648	1,588	1,392	941	733	606	395	200	103	32	43
2019	용산구	한강로동	한국인	17,990	526	405	393	503	999	1,730	1,950	1,641	1,264	1,292	1,504	1,486	1,319	903	714	595	392	199	100	32	43
2019	용산구	한강로동	외국인	1,645	101	137	87	52	38	80	157	198	224	177	144	102	73	38	19	11	3	1	3	-	-
2019	용산구	한남동	계	23,704	714	766	661	766	1,152	2,031	2,303	2,524	1,928	2,055	1,811	1,761	1,642	1,090	897	754	452	215	115	35	32
2019	용산구	한남동	한국인	20,634	588	580	520	643	976	1,739	1,909	2,102	1,593	1,768	1,568	1,585	1,540	1,046	884	750	446	215	115	35	32
2019	용산구	한남동	외국인	3,070	126	186	141	123	176	292	394	422	335	287	243	176	102	44	13	4	6	-	-	-	-
2019	성동구	소계	계	308,979	11,370	10,928	9,645	12,316	22,455	26,763	25,183	27,121	22,796	25,348	24,810	24,905	21,392	14,118	11,307	9,155	5,567	2,458	869	236	237
2019	성동구	소계	한국인	300,889	11,181	10,802	9,576	11,859	20,347	25,638	24,419	26,545	22,344	24,825	24,187	24,259	21,111	14,022	11,280	9,144	5,560	2,454	868	234	234
2019	성동구	소계	외국인	8,090	189	126	69	457	2,108	1,125	764	576	452	523	623	646	281	96	27	11	7	4	1	2	3
2019	성동구	왕십리2동	계	17,744	663	610	575	749	1,145	1,540	1,550	1,558	1,320	1,500	1,411	1,427	1,213	827	649	503	291	130	42	22	19
2019	성동구	왕십리2동	한국인	17,330	647	605	570	732	1,058	1,487	1,510	1,521	1,291	1,473	1,368	1,394	1,198	824	645	503	291	130	42	22	19
2019	성동구	왕십리2동	외국인	414	16	5	5	17	87	53	40	37	29	27	43	33	15	3	4	-	-	-	-	-	-
2019	성동구	마장동	계	24,035	660	681	777	1,073	2,207	2,577	1,800	1,663	1,403	1,866	1,952	2,034	1,681	1,199	951	752	459	203	69	12	16
2019	성동구	마장동	한국인	23,304	645	675	772	1,032	1,983	2,467	1,730	1,619	1,368	1,814	1,895	1,988	1,664	1,192	951	751	458	203	69	12	16
2019	성동구	마장동	외국인	731	15	6	5	41	224	110	70	44	35	52	57	46	17	7	-	1	1	-	-	-	-
2019	성동구	사근동	계	13,543	244	241	242	728	3,278	2,504	1,072	718	562	669	680	611	541	389	394	370	188	71	24	8	9
2019	성동구	사근동	한국인	11,702	236	237	242	547	2,211	2,132	970	681	545	651	662	606	536	385	392	370	188	71	24	8	8
2019	성동구	사근동	외국인	1,841	8	4	-	181	1,067	372	102	37	17	18	18	5	5	4	2	-	-	-	-	-	1
2019	성동구	행당1동	계	16,463	512	578	473	678	1,311	1,567	1,316	1,331	1,192	1,312	1,330	1,374	1,165	727	587	524	283	133	47	15	8
2019	성동구	행당1동	한국인	15,993	507	570	470	655	1,147	1,490	1,271	1,314	1,166	1,295	1,304	1,334	1,150	726	585	524	282	133	47	15	8
2019	성동구	행당1동	외국인	470	5	8	3	23	164	77	45	17	26	17	26	40	15	1	2	-	1	-	-	-	-
2019	성동구	행당2동	계	24,640	973	1,042	1,099	1,176	1,541	1,554	1,761	2,092	2,022	2,329	2,053	1,873	1,550	1,099	963	738	452	204	80	18	21
2019	성동구	행당2동	한국인	24,554	973	1,041	1,095	1,173	1,529	1,547	1,751	2,085	2,009	2,319	2,046	1,866	1,548	1,099	963	737	451	204	80	18	20
2019	성동구	행당2동	외국인	86	-	1	4	3	12	7	10	7	13	10	7	7	2	-	-	1	1	-	-	-	1
2019	성동구	응봉동	계	16,188	540	749	937	856	930	863	973	1,360	1,451	1,677	1,327	1,134	935	730	628	550	324	154	52	12	6
2019	성동구	응봉동	한국인	16,120	538	748	937	856	924	857	967	1,347	1,442	1,669	1,317	1,129	933	730	628	550	324	154	52	12	6
2019	성동구	응봉동	외국인	68	2	1	-	-	6	6	6	13	9	8	10	5	2	-	-	-	-	-	-	-	-
2019	성동구	금호1가동	계	15,954	727	641	517	645	893	1,032	1,249	1,651	1,314	1,313	1,253	1,175	1,172	779	600	471	311	153	41	5	12
2019	성동구	금호1가동	한국인	15,853	723	636	515	642	889	1,024	1,234	1,637	1,303	1,303	1,250	1,164	1,167	776	597	471	311	153	41	5	12
2019	성동구	금호1가동	외국인	101	4	5	2	3	4	8	15	14	11	10	3	11	5	3	3	-	-	-	-	-	-
2019	성동구	금호4가동	계	15,227	794	699	534	470	710	955	1,275	1,630	1,370	1,320	1,105	1,112	1,031	690	594	469	285	120	41	14	9
2019	성동구	금호4가동	한국인	15,078	792	697	531	466	683	944	1,263	1,617	1,353	1,308	1,090	1,096	1,020	687	594	469	285	119	41	14	9
2019	성동구	금호4가동	외국인	149	2	2	3	4	27	11	12	13	17	12	15	16	11	3	-	-	-	1	-	-	-
2019	성동구	성수1가1동	계	17,168	579	563	500	734	1,141	1,540	1,540	1,472	1,185	1,434	1,591	1,521	1,289	729	535	387	248	122	39	9	10
2019	성동구	성수1가1동	한국인	16,831	568	554	496	727	1,111	1,499	1,487	1,439	1,158	1,401	1,558	1,481	1,284	723	532	387	247	122	39	9	9
2019	성동구	성수1가1동	외국인	337	11	9	4	7	30	41	53	33	27	33	33	40	5	6	3	-	1	-	-	-	1
2019	성동구	성수1가2동	계	14,735	455	464	453	563	980	1,398	1,483	1,291	1,124	1,222	1,128	1,156	1,075	634	487	403	251	107	38	9	14
2019	성동구	성수1가2동	한국인	14,338	438	451	451	558	925	1,336	1,421	1,246	1,103	1,200	1,096	1,115	1,061	630	486	403	251	107	38	8	14
2019	성동구	성수1가2동	외국인	397	17	13	2	5	55	62	62	45	21	22	32	41	14	4	1	-	-	-	-	1	-
2019	성동구	성수2가1동	계	17,722	484	464	422	596	1,016	1,517	1,478	1,329	1,170	1,454	1,548	1,942	1,566	969	693	540	306	142	52	20	14
2019	성동구	성수2가1동	한국인	17,072	463	446	419	591	979	1,471	1,410	1,265	1,119	1,366	1,458	1,849	1,514	959	691	539	306	142	52	19	14
2019	성동구	성수2가1동	외국인	650	21	18	3	5	37	46	68	64	51	88	90	93	52	10	2	1	-	-	-	1	-
2019	성동구	성수2가3동	계	11,682	341	305	255	340	833	1,293	1,112	1,007	736	842	945	1,009	896	580	453	363	241	87	28	6	10
2019	성동구	성수2가3동	한국인	11,342	336	301	249	322	790	1,243	1,076	972	712	811	912	979	881	572	452	363	240	87	28	6	10
2019	성동구	성수2가3동	외국인	340	5	4	6	18	43	50	36	35	24	31	33	30	15	8	1	-	1	-	-	-	-
2019	성동구	송정동	계	11,428	318	294	283	398	778	1,014	878	912	801	935	1,043	1,140	956	605	432	314	197	81	34	7	8
2019	성동구	송정동	한국인	10,960	306	287	279	383	721	967	842	863	764	895	992	1,077	922	595	429	312	197	80	34	7	8
2019	성동구	송정동	외국인	468	12	7	4	15	57	47	36	49	37	40	51	63	34	10	3	2	-	1	-	-	-
2019	성동구	용답동	계	13,290	255	307	298	516	985	1,301	968	918	884	1,137	1,329	1,251	1,017	646	586	462	288	104	28	6	4
2019	성동구	용답동	한국인	12,232	221	285	289	419	814	1,171	883	856	838	1,063	1,211	1,112	967	632	583	460	287	103	28	6	4
2019	성동구	용답동	외국인	1,058	34	22	9	97	171	130	85	62	46	74	118	139	50	14	3	2	1	1	-	-	-
2019	성동구	왕십리도선동	계	27,767	1,287	1,239	744	955	2,020	2,577	2,304	2,733	1,995	2,174	2,273	2,210	1,772	1,110	842	742	474	191	79	21	25
2019	성동구	왕십리도선동	한국인	27,270	1,270	1,232	736	931	1,927	2,518	2,239	2,690	1,960	2,141	2,229	2,168	1,753	1,103	842	741	474	191	79	21	25
